time,temp,oxy,light,PST,,
1510355400,2.490977,11.121332,738.3024,11/10/2017 15:10,,
1510356000,2.490977,11.103585,579.3623,11/10/2017 15:20,,
1510356600,2.480284,11.082026,548.5997,11/10/2017 15:30,,
1510357200,2.480284,11.082026,420.4222,11/10/2017 15:40,,
1510357800,2.469588,11.104752,333.2615,11/10/2017 15:50,,
1510358400,2.469588,11.104752,240.9737,11/10/2017 16:00,,
1510359000,2.45889,11.118647,179.4485,11/10/2017 16:10,,
1510359600,2.437484,11.102085,158.9401,11/10/2017 16:20,,
1510360200,2.448188,11.08821,82.0336,11/10/2017 16:30,,
1510360800,2.448188,11.097065,35.8897,11/10/2017 16:40,,
1510361400,2.448188,11.114798,10.2542,11/10/2017 16:50,,
1510362000,2.437484,11.093227,0,11/10/2017 17:00,,
1510362600,2.437484,11.110952,0,11/10/2017 17:10,,
1510363200,2.437484,11.093227,0,11/10/2017 17:20,,
1510363800,2.437484,11.102085,0,11/10/2017 17:30,,
1510364400,2.437484,11.093227,0,11/10/2017 17:40,,
1510365000,2.437484,11.119826,0,11/10/2017 17:50,,
1510365600,2.437484,11.102085,0,11/10/2017 18:00,,
1510366200,2.426777,11.098247,0,11/10/2017 18:10,,
1510366800,2.426777,11.10711,0,11/10/2017 18:20,,
1510367400,2.426777,11.10711,0,11/10/2017 18:30,,
1510368000,2.426777,11.124858,0,11/10/2017 18:40,,
1510368600,2.426777,11.11598,0,11/10/2017 18:50,,
1510369200,2.426777,11.11598,0,11/10/2017 19:00,,
1510369800,2.426777,11.11598,0,11/10/2017 19:10,,
1510370400,2.437484,11.102085,0,11/10/2017 19:20,,
1510371000,2.426777,11.124858,0,11/10/2017 19:30,,
1510371600,2.426777,11.11598,0,11/10/2017 19:40,,
1510372200,2.426777,11.124858,0,11/10/2017 19:50,,
1510372800,2.426777,11.11598,0,11/10/2017 20:00,,
1510373400,2.426777,11.133744,0,11/10/2017 20:10,,
1510374000,2.426777,11.11598,0,11/10/2017 20:20,,
1510374600,2.437484,11.110952,0,11/10/2017 20:30,,
1510375200,2.426777,11.11598,0,11/10/2017 20:40,,
1510375800,2.426777,11.11598,0,11/10/2017 20:50,,
1510376400,2.426777,11.124858,0,11/10/2017 21:00,,
1510377000,2.426777,11.11598,0,11/10/2017 21:10,,
1510377600,2.426777,11.11598,0,11/10/2017 21:20,,
1510378200,2.426777,11.124858,0,11/10/2017 21:30,,
1510378800,2.426777,11.11598,0,11/10/2017 21:40,,
1510379400,2.426777,11.11598,0,11/10/2017 21:50,,
1510380000,2.426777,11.133744,0,11/10/2017 22:00,,
1510380600,2.426777,11.124858,0,11/10/2017 22:10,,
1510381200,2.426777,11.11598,0,11/10/2017 22:20,,
1510381800,2.426777,11.11598,0,11/10/2017 22:30,,
1510382400,2.426777,11.124858,0,11/10/2017 22:40,,
1510383000,2.426777,11.124858,0,11/10/2017 22:50,,
1510383600,2.426777,11.124858,0,11/10/2017 23:00,,
1510384200,2.426777,11.124858,0,11/10/2017 23:10,,
1510384800,2.416067,11.121013,0,11/10/2017 23:20,,
1510385400,2.416067,11.121013,0,11/10/2017 23:30,,
1510386000,2.416067,11.129895,0,11/10/2017 23:40,,
1510386600,2.416067,11.129895,0,11/10/2017 23:50,,
1510387200,2.416067,11.129895,0,11/11/2017 0:00,,
1510387800,2.416067,11.121013,0,11/11/2017 0:10,,
1510388400,2.416067,11.129895,0,11/11/2017 0:20,,
1510389000,2.416067,11.129895,0,11/11/2017 0:30,,
1510389600,2.405354,11.143829,0,11/11/2017 0:40,,
1510390200,2.405354,11.134936,0,11/11/2017 0:50,,
1510390800,2.416067,11.121013,0,11/11/2017 1:00,,
1510391400,2.405354,11.15273,0,11/11/2017 1:10,,
1510392000,2.405354,11.134936,0,11/11/2017 1:20,,
1510392600,2.405354,11.134936,0,11/11/2017 1:30,,
1510393200,2.405354,11.15273,0,11/11/2017 1:40,,
1510393800,2.405354,11.15273,0,11/11/2017 1:50,,
1510394400,2.416067,11.129895,0,11/11/2017 2:00,,
1510395000,2.405354,11.12605,0,11/11/2017 2:10,,
1510395600,2.405354,11.143829,0,11/11/2017 2:20,,
1510396200,2.405354,11.12605,0,11/11/2017 2:30,,
1510396800,2.405354,11.143829,0,11/11/2017 2:40,,
1510397400,2.394638,11.157782,0,11/11/2017 2:50,,
1510398000,2.394638,11.148878,0,11/11/2017 3:00,,
1510398600,2.394638,11.13998,0,11/11/2017 3:10,,
1510399200,2.394638,11.13109,0,11/11/2017 3:20,,
1510399800,2.394638,11.13998,0,11/11/2017 3:30,,
1510400400,2.383919,11.153929,0,11/11/2017 3:40,,
1510401000,2.383919,11.127249,0,11/11/2017 3:50,,
1510401600,2.383919,11.136134,0,11/11/2017 4:00,,
1510402200,2.383919,11.136134,0,11/11/2017 4:10,,
1510402800,2.373198,11.167898,0,11/11/2017 4:20,,
1510403400,2.373198,11.158985,0,11/11/2017 4:30,,
1510404000,2.373198,11.15008,0,11/11/2017 4:40,,
1510404600,2.373198,11.15008,0,11/11/2017 4:50,,
1510405200,2.362474,11.164046,0,11/11/2017 5:00,,
1510405800,2.362474,11.172962,0,11/11/2017 5:10,,
1510406400,2.362474,11.155136,0,11/11/2017 5:20,,
1510407000,2.362474,11.164046,0,11/11/2017 5:30,,
1510407600,2.362474,11.164046,0,11/11/2017 5:40,,
1510408200,2.362474,11.155136,0,11/11/2017 5:50,,
1510408800,2.351746,11.151291,0,11/11/2017 6:00,,
1510409400,2.362474,11.164046,0,11/11/2017 6:10,,
1510410000,2.351746,11.160197,0,11/11/2017 6:20,,
1510410600,2.351746,11.178031,0,11/11/2017 6:30,,
1510411200,2.351746,11.178031,0,11/11/2017 6:40,,
1510411800,2.351746,11.151291,15.3813,11/11/2017 6:50,,
1510412400,2.351746,11.16911,46.1439,11/11/2017 7:00,,
1510413000,2.351746,11.178031,82.0336,11/11/2017 7:10,,
1510413600,2.351746,11.16911,148.6859,11/11/2017 7:20,,
1510414200,2.351746,11.160197,235.8466,11/11/2017 7:30,,
1510414800,2.362474,11.164046,292.2447,11/11/2017 7:40,,
1510415400,2.351746,11.186959,230.7195,11/11/2017 7:50,,
1510416000,2.362474,11.190819,287.1176,11/11/2017 8:00,,
1510416600,2.362474,11.164046,287.1176,11/11/2017 8:10,,
1510417200,2.362474,11.172962,440.9306,11/11/2017 8:20,,
1510417800,2.373198,11.167898,440.9306,11/11/2017 8:30,,
1510418400,2.373198,11.158985,425.5493,11/11/2017 8:40,,
1510419000,2.373198,11.167898,594.7436,11/11/2017 8:50,,
1510419600,2.373198,11.176819,907.4967,11/11/2017 9:00,,
1510420200,2.383919,11.171754,1204.8685,11/11/2017 9:10,,
1510420800,2.383919,11.189611,1522.7487,11/11/2017 9:20,,
1510421400,2.394638,11.193478,1630.4178,11/11/2017 9:30,,
1510422000,2.405354,11.179478,1081.8181,11/11/2017 9:40,,
1510422600,2.416067,11.174419,1102.3265,11/11/2017 9:50,,
1510423200,2.416067,11.174419,1292.0292,11/11/2017 10:00,,
1510423800,2.437484,11.164311,1076.691,11/11/2017 10:10,,
1510424400,2.437484,11.173231,1230.504,11/11/2017 10:20,,
1510425000,2.448188,11.177102,1497.1132,11/11/2017 10:30,,
1510425600,2.45889,11.180977,1953.4251,11/11/2017 10:40,,
1510426200,2.469588,11.175925,1379.1899,11/11/2017 10:50,,
1510426800,2.480284,11.153047,1497.1132,11/11/2017 11:00,,
1510427400,2.490977,11.156918,1450.9693,11/11/2017 11:10,,
1510428000,2.501667,11.169713,1322.7918,11/11/2017 11:20,,
1510428600,2.501667,11.169713,1117.7078,11/11/2017 11:30,,
1510429200,2.501667,11.169713,1163.8517,11/11/2017 11:40,,
1510429800,2.512354,11.146849,1020.2929,11/11/2017 11:50,,
1510430400,2.512354,11.129057,1004.9116,11/11/2017 12:00,,
1510431000,2.523039,11.132925,928.0051,11/11/2017 12:10,,
1510431600,2.512354,11.146849,902.3696,11/11/2017 12:20,,
1510432200,2.523039,11.150725,1209.9956,11/11/2017 12:30,,
1510432800,2.53372,11.127905,1153.5975,11/11/2017 12:40,,
1510433400,2.53372,11.136797,835.7173,11/11/2017 12:50,,
1510434000,2.544399,11.122888,1266.3937,11/11/2017 13:00,,
1510434600,2.544399,11.140673,1491.9861,11/11/2017 13:10,,
1510435200,2.555075,11.12676,1240.7582,11/11/2017 13:20,,
1510435800,2.576418,11.116739,1353.5544,11/11/2017 13:30,,
1510436400,2.576418,11.125623,1102.3265,11/11/2017 13:40,,
1510437000,2.576418,11.107862,1020.2929,11/11/2017 13:50,,
1510437600,2.576418,11.107862,856.2257,11/11/2017 14:00,,
1510438200,2.587085,11.120614,861.3528,11/11/2017 14:10,,
1510438800,2.587085,11.102861,861.3528,11/11/2017 14:20,,
1510439400,2.587085,11.111734,902.3696,11/11/2017 14:30,,
1510440000,2.59775,11.115609,1174.1059,11/11/2017 14:40,,
1510440600,2.59775,11.115609,748.5566,11/11/2017 14:50,,
1510441200,2.59775,11.115609,615.252,11/11/2017 15:00,,
1510441800,2.59775,11.097864,881.8612,11/11/2017 15:10,,
1510442400,2.59775,11.106733,615.252,11/11/2017 15:20,,
1510443000,2.59775,11.097864,312.7531,11/11/2017 15:30,,
1510443600,2.59775,11.106733,230.7195,11/11/2017 15:40,,
1510444200,2.59775,11.106733,338.3886,11/11/2017 15:50,,
1510444800,2.59775,11.089003,107.6691,11/11/2017 16:00,,
1510445400,2.59775,11.089003,87.1607,11/11/2017 16:10,,
1510446000,2.59775,11.089003,46.1439,11/11/2017 16:20,,
1510446600,2.59775,11.089003,20.5084,11/11/2017 16:30,,
1510447200,2.587085,11.102861,10.2542,11/11/2017 16:40,,
1510447800,2.587085,11.076288,5.1271,11/11/2017 16:50,,
1510448400,2.587085,11.085138,0,11/11/2017 17:00,,
1510449000,2.587085,11.085138,0,11/11/2017 17:10,,
1510449600,2.587085,11.085138,0,11/11/2017 17:20,,
1510450200,2.587085,11.076288,0,11/11/2017 17:30,,
1510450800,2.587085,11.093996,0,11/11/2017 17:40,,
1510451400,2.576418,11.098993,0,11/11/2017 17:50,,
1510452000,2.576418,11.098993,0,11/11/2017 18:00,,
1510452600,2.576418,11.090131,0,11/11/2017 18:10,,
1510453200,2.576418,11.098993,0,11/11/2017 18:20,,
1510453800,2.576418,11.081277,0,11/11/2017 18:30,,
1510454400,2.576418,11.098993,0,11/11/2017 18:40,,
1510455000,2.565748,11.086271,0,11/11/2017 18:50,,
1510455600,2.576418,11.090131,0,11/11/2017 19:00,,
1510456200,2.576418,11.090131,0,11/11/2017 19:10,,
1510456800,2.565748,11.086271,0,11/11/2017 19:20,,
1510457400,2.565748,11.103994,0,11/11/2017 19:30,,
1510458000,2.565748,11.095128,0,11/11/2017 19:40,,
1510458600,2.565748,11.095128,0,11/11/2017 19:50,,
1510459200,2.565748,11.07742,0,11/11/2017 20:00,,
1510459800,2.555075,11.082414,0,11/11/2017 20:10,,
1510460400,2.555075,11.091268,0,11/11/2017 20:20,,
1510461000,2.555075,11.082414,0,11/11/2017 20:30,,
1510461600,2.544399,11.087411,0,11/11/2017 20:40,,
1510462200,2.544399,11.087411,0,11/11/2017 20:50,,
1510462800,2.544399,11.105135,0,11/11/2017 21:00,,
1510463400,2.53372,11.101274,0,11/11/2017 21:10,,
1510464000,2.544399,11.096269,0,11/11/2017 21:20,,
1510464600,2.53372,11.083558,0,11/11/2017 21:30,,
1510465200,2.53372,11.083558,0,11/11/2017 21:40,,
1510465800,2.523039,11.088559,0,11/11/2017 21:50,,
1510466400,2.523039,11.088559,0,11/11/2017 22:00,,
1510467000,2.523039,11.088559,0,11/11/2017 22:10,,
1510467600,2.512354,11.102425,0,11/11/2017 22:20,,
1510468200,2.512354,11.102425,0,11/11/2017 22:30,,
1510468800,2.512354,11.102425,0,11/11/2017 22:40,,
1510469400,2.512354,11.102425,0,11/11/2017 22:50,,
1510470000,2.523039,11.097417,0,11/11/2017 23:00,,
1510470600,2.523039,11.097417,0,11/11/2017 23:10,,
1510471200,2.523039,11.079708,0,11/11/2017 23:20,,
1510471800,2.523039,11.097417,0,11/11/2017 23:30,,
1510472400,2.523039,11.088559,0,11/11/2017 23:40,,
1510473000,2.523039,11.097417,0,11/11/2017 23:50,,
1510473600,2.523039,11.088559,0,11/12/2017 0:00,,
1510474200,2.523039,11.106283,0,11/12/2017 0:10,,
1510474800,2.523039,11.106283,0,11/12/2017 0:20,,
1510475400,2.53372,11.092412,0,11/12/2017 0:30,,
1510476000,2.523039,11.097417,0,11/12/2017 0:40,,
1510476600,2.523039,11.079708,0,11/12/2017 0:50,,
1510477200,2.53372,11.083558,0,11/12/2017 1:00,,
1510477800,2.53372,11.101274,0,11/12/2017 1:10,,
1510478400,2.53372,11.074711,0,11/12/2017 1:20,,
1510479000,2.53372,11.092412,0,11/12/2017 1:30,,
1510479600,2.53372,11.092412,0,11/12/2017 1:40,,
1510480200,2.53372,11.083558,0,11/12/2017 1:50,,
1510480800,2.53372,11.083558,0,11/12/2017 2:00,,
1510481400,2.53372,11.092412,0,11/12/2017 2:10,,
1510482000,2.53372,11.092412,0,11/12/2017 2:20,,
1510482600,2.544399,11.07856,0,11/12/2017 2:30,,
1510483200,2.544399,11.07856,0,11/12/2017 2:40,,
1510483800,2.544399,11.096269,0,11/12/2017 2:50,,
1510484400,2.544399,11.069717,0,11/12/2017 3:00,,
1510485000,2.544399,11.07856,0,11/12/2017 3:10,,
1510485600,2.544399,11.087411,0,11/12/2017 3:20,,
1510486200,2.544399,11.07856,0,11/12/2017 3:30,,
1510486800,2.544399,11.07856,0,11/12/2017 3:40,,
1510487400,2.544399,11.07856,0,11/12/2017 3:50,,
1510488000,2.544399,11.069717,0,11/12/2017 4:00,,
1510488600,2.544399,11.07856,0,11/12/2017 4:10,,
1510489200,2.544399,11.07856,0,11/12/2017 4:20,,
1510489800,2.544399,11.060882,0,11/12/2017 4:30,,
1510490400,2.544399,11.087411,0,11/12/2017 4:40,,
1510491000,2.544399,11.069717,0,11/12/2017 4:50,,
1510491600,2.544399,11.087411,0,11/12/2017 5:00,,
1510492200,2.544399,11.087411,0,11/12/2017 5:10,,
1510492800,2.544399,11.087411,0,11/12/2017 5:20,,
1510493400,2.53372,11.074711,0,11/12/2017 5:30,,
1510494000,2.53372,11.083558,0,11/12/2017 5:40,,
1510494600,2.53372,11.092412,0,11/12/2017 5:50,,
1510495200,2.53372,11.083558,0,11/12/2017 6:00,,
1510495800,2.53372,11.083558,0,11/12/2017 6:10,,
1510496400,2.53372,11.083558,0,11/12/2017 6:20,,
1510497000,2.53372,11.083558,0,11/12/2017 6:30,,
1510497600,2.53372,11.083558,0,11/12/2017 6:40,,
1510498200,2.53372,11.074711,5.1271,11/12/2017 6:50,,
1510498800,2.544399,11.087411,25.6355,11/12/2017 7:00,,
1510499400,2.544399,11.07856,61.5252,11/12/2017 7:10,,
1510500000,2.544399,11.096269,184.5756,11/12/2017 7:20,,
1510500600,2.544399,11.096269,328.1344,11/12/2017 7:30,,
1510501200,2.555075,11.073567,487.0745,11/12/2017 7:40,,
1510501800,2.565748,11.095128,656.2688,11/12/2017 7:50,,
1510502400,2.565748,11.095128,594.7436,11/12/2017 8:00,,
1510503000,2.565748,11.095128,635.7604,11/12/2017 8:10,,
1510503600,2.576418,11.090131,748.5566,11/12/2017 8:20,,
1510504200,2.587085,11.111734,1112.5807,11/12/2017 8:30,,
1510504800,2.59775,11.097864,1435.588,11/12/2017 8:40,,
1510505400,2.608412,11.084014,1133.0891,11/12/2017 8:50,,
1510506000,2.619071,11.105612,1620.1636,11/12/2017 9:00,,
1510506600,2.64038,11.086769,2307.195,11/12/2017 9:10,,
1510507200,2.661678,11.103392,1850.8831,11/12/2017 9:20,,
1510507800,2.682965,11.093426,3271.0898,11/12/2017 9:30,,
1510508400,2.704241,11.092336,2625.0752,11/12/2017 9:40,,
1510509000,2.714875,11.087362,2184.1446,11/12/2017 9:50,,
1510509600,2.736134,11.059736,1804.7392,11/12/2017 10:00,,
1510510200,2.746759,11.063619,2358.466,11/12/2017 10:10,,
1510510800,5.956513,10.40549,10.2542,11/12/2017 10:20,,
1510511400,8.283871,9.837091,5.1271,11/12/2017 10:30,,
1510512000,10.377294,9.132254,0,11/12/2017 10:40,,
1510512600,11.491364,8.84918,0,11/12/2017 10:50,,
1510513200,12.297877,8.68132,0,11/12/2017 11:00,,
